place_id,date_published,comment,checkin_rating,accuracy_rating,value_rating,communication_rating,cleanliness_rating,location_rating,place_id
1,Fri May 29 2020 03:43:26 GMT-0700 (Pacific Daylight Time),Aut repudiandae aut in et iusto nisi. Aut aut fuga. Maiores voluptates assumenda odit asperiores explicabo ipsa.,1.2,1.4,1.6,1.7,1.8,1.9,1
1,Sun Mar 29 2020 08:44:17 GMT-0700 (Pacific Daylight Time),Voluptatem asperiores aut nihil sapiente ut laudantium nemo velit molestias. Beatae libero facere voluptatum eos sint excepturi quia ipsam. Autem voluptatem molestiae alias totam nihil et voluptatem rerum dolores.,2.1,2.2,2.3,2.5,2.7,2.8,1
2,Sun May 03 2020 12:12:58 GMT-0700 (Pacific Daylight Time),Dolor officiis aut culpa sapiente error beatae aspernatur praesentium. Voluptatem aliquid beatae quibusdam repudiandae saepe quis. Provident qui non sint. Quia quae qui. Ipsam vel libero iure aut modi. Dignissimos sunt aperiam ut nesciunt et recusandae eligendi.,3.1,3.3,3.4,3.5,3.7,3.9,2
2,Tue Apr 07 2020 04:21:12 GMT-0700 (Pacific Daylight Time),Sint occaecati quia blanditiis non corrupti aliquid enim accusamus. Ut iste sapiente nesciunt maxime corrupti autem a. Laborum in distinctio veniam sint natus neque. Exercitationem maiores et ipsa iure sunt deleniti harum. Unde neque quos. Aut debitis dolores est sit suscipit dolorem.,1.2,1.4,1.6,1.7,1.8,1.9,2
2,Mon Jan 27 2020 03:15:57 GMT-0800 (Pacific Standard Time),Vel minus dolorem nam. Quia et quaerat dolor dolorum similique necessitatibus sunt. Molestiae qui architecto officia sunt laboriosam. Est magni dolores reprehenderit deleniti eum sit.,2.1,2.2,2.3,2.5,2.7,2.8,2
3,Tue Feb 25 2020 05:49:02 GMT-0800 (Pacific Standard Time),Provident dolores incidunt perspiciatis omnis accusamus mollitia ea ut. Est est voluptatibus aut molestiae commodi repellat quisquam totam commodi. Fuga asperiores sit temporibus ab ex omnis optio saepe quibusdam.,3.1,3.3,3.4,3.5,3.7,3.9,3
3,Tue Mar 03 2020 22:35:11 GMT-0800 (Pacific Standard Time),Qui quis quia ratione et. Qui esse illo non in modi facere.,1.2,1.4,1.6,1.7,1.8,1.9,3
3,Sat May 16 2020 23:29:37 GMT-0700 (Pacific Daylight Time),Vel iure neque sit deserunt reprehenderit facere optio et commodi. Et et autem voluptates repellendus iusto aut. Et et quidem provident optio corporis laboriosam quae consequatur dolorem. Doloremque in necessitatibus ut est a sapiente. Illo sint quo sit non. Quia enim magni dolore veritatis.,2.1,2.2,2.3,2.5,2.7,2.8,3
3,Tue Apr 07 2020 23:18:18 GMT-0700 (Pacific Daylight Time),Rem aspernatur voluptatum. Earum culpa architecto neque. Atque nobis ut sed rerum sed et enim. Culpa aliquid labore eum aut dolores ullam qui provident dignissimos.,3.1,3.3,3.4,3.5,3.7,3.9,3
4,Tue May 05 2020 23:18:47 GMT-0700 (Pacific Daylight Time),Et vel quidem. Dicta eos inventore minima eius suscipit unde placeat. Et optio occaecati natus voluptatem qui illo molestiae in ut. Consectetur provident ullam. Et odio alias vel voluptas voluptas fugiat quia quis. Officia voluptatem suscipit sit suscipit nisi dolorem.,1.2,1.4,1.6,1.7,1.8,1.9,4
